Time;ID;UID;Latitude;Longitude;N0_ID;N0_RSSI;N0_distance;N1_ID;N1_RSSI;N1_distance;N2_ID;N2_RSSI;N2_distance;N3_ID;N3_RSSI;N3_distance;N4_ID;N4_RSSI;N4_distance;N5_ID;N5_RSSI;N5_distance;N6_ID;N6_RSSI;N6_distance;N7_ID;N7_RSSI;N7_distance;N8_ID;N8_RSSI;N8_distance;N9_ID;N9_RSSI;N9_distance;N10_ID;N10_RSSI;N10_distance;N11_ID;N11_RSSI;N11_distance;
1510737680;0010;2000000012900800454e9139;0.000000;0.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1510737700;0010;2000000012900800454e9139;0.000000;0.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1510737720;0010;2000000012900800454e9139;0.000000;0.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1510737740;0010;2000000012900800454e9139;0.000000;0.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1510737760;0010;2000000012900800454e9139;0.000000;0.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1510737780;0010;2000000012900800454e9139;0.000000;0.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1510737800;0010;2000000012900800454e9139;0.000000;0.000000;70;-40;0.000000;88;-30;0.000000;99;-65;0.000000;102;-39;0.000000;;;;;;;;;;;;;;;;;;;;;;;;;
1510737820;0010;2000000012900800454e9139;0.000000;0.000000;64;-25;0.000000;68;-67;0.000000;99;-75;0.000000;102;-43;0.000000;;;;;;;;;;;;;;;;;;;;;;;;;
1510737840;0010;2000000012900800454e9139;0.000000;0.000000;64;-20;0.000000;68;-74;0.000000;84;-76;0.000000;99;-77;0.000000;102;-50;0.000000;;;;;;;;;;;;;;;;;;;;;;
1510737860;0010;2000000012900800454e9139;14.629703;121.096467;64;-17;0.033189;68;-73;0.135990;102;-53;0.053298;;;;;;;;;;;;;;;;;;;;;;;;;;;;
