Time;ID;UID;Latitude;Longitude;N0_ID;N0_RSSI;N0_distance;N1_ID;N1_RSSI;N1_distance;N2_ID;N2_RSSI;N2_distance;N3_ID;N3_RSSI;N3_distance;N4_ID;N4_RSSI;N4_distance;N5_ID;N5_RSSI;N5_distance;N6_ID;N6_RSSI;N6_distance;N7_ID;N7_RSSI;N7_distance;N8_ID;N8_RSSI;N8_distance;N9_ID;N9_RSSI;N9_distance;N10_ID;N10_RSSI;N10_distance;N11_ID;N11_RSSI;N11_distance;
1525361800;0011;2000000012900f00454e9139;55.850163;12.459171;32;-23;0.002337;33;-12;0.002551;34;-31;0.005040;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1525361820;0011;2000000012900f00454e9139;55.850163;12.459169;32;-12;0.001976;33;-13;0.001917;34;-40;0.004554;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1525361840;0011;2000000012900f00454e9139;55.850163;12.459169;32;-16;0.001232;34;-55;0.052333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1525361860;0011;2000000012900f00454e9139;55.850170;12.459153;33;-18;0.003481;34;-67;0.115294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1525361880;0011;2000000012900f00454e9139;55.850163;12.459169;34;-70;0.171863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1525361900;0011;2000000012900f00454e9139;55.850163;12.459167;34;-69;0.218376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1525361920;0011;2000000012900f00454e9139;55.850170;12.459176;34;-73;0.247965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1525361940;0011;2000000012900f00454e9139;55.850163;12.459184;34;-72;0.277801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1525361960;0011;2000000012900f00454e9139;55.850163;12.459182;33;-22;0.001414;34;-72;0.310669;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1525361980;0011;2000000012900f00454e9139;55.850155;12.459180;33;-15;0.001072;34;-86;0.329127;36;-16;0.000893;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1525362000;0011;2000000012900f00454e9139;55.850163;12.459186;32;-24;0.001977;33;-15;0.001036;34;-76;0.352701;36;-15;0.002107;;;;;;;;;;;;;;;;;;;;;;;;;
